,STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE,AFAMERPER,WHITESPER,ASIANPER,HISPANICPER,PERSENIORS,YEAR_x,POVERTY_RATE,YEAR_y,INCINEQUALITY,YEAR_x,UNEMP_RATE,YEAR_y,RURAL_POP,YEAR,CITIZENS
28,AL_FAYETTE,6705,0.8140000000000001,1358,0.1649,18494.0,2017.0,0.146,2017.0,0.505,0.114,0.865,0.002,0.012,0.179,2016.0,0.1730118443316413,2017.0,0.5891909814323608,2017.0,0.07,2017.0,0.802,2016.0,0.9986299999999999
29,AL_FRANKLIN,9466,0.7862,2197,0.1825,18888.0,2017.0,0.19899999999999998,2017.0,0.40299999999999997,0.039,0.83,0.002,0.149,0.152,2016.0,0.2228527459844186,2017.0,0.4892793987621573,2017.0,0.064,2017.0,0.7040000000000001,2016.0,0.929243
30,AL_GENEVA,9967,0.8501000000000001,1522,0.1298,20199.0,2017.0,0.172,2017.0,0.47,0.095,0.863,0.003,0.034,0.174,2016.0,0.2276807696678156,2017.0,0.5328249336870026,2017.0,0.059000000000000004,2017.0,0.8959999999999999,2016.0,0.987484
31,AL_GREENE,838,0.172,4006,0.8220999999999999,14930.0,2017.0,0.151,2017.0,0.45399999999999996,0.815,0.174,0.002,0.008,0.161,2016.0,0.3788375908132177,2017.0,0.5341511936339522,2017.0,0.11,2017.0,1.0,2016.0,0.999767
32,AL_HALE,3172,0.3947,4772,0.5938,18812.0,2017.0,0.14,2017.0,0.48,0.59,0.398,0.002,0.009000000000000001,0.15,2016.0,0.25911746927261736,2017.0,0.6254420866489832,2017.0,0.078,2017.0,0.892,2016.0,0.9981530000000001
33,AL_HENRY,5623,0.6979000000000001,2286,0.2837,21924.0,2017.0,0.151,2017.0,0.5760000000000001,0.28600000000000003,0.6859999999999999,0.003,0.022,0.17600000000000002,2016.0,0.152809785499025,2017.0,0.5943854995579133,2017.0,0.068,2017.0,0.878,2016.0,0.9862110000000001
34,AL_HOUSTON,30567,0.7217,10547,0.249,23316.0,2017.0,0.135,2017.0,0.5720000000000001,0.258,0.7,0.008,0.029,0.145,2016.0,0.18880676845278616,2017.0,0.5536030061892131,2017.0,0.062,2017.0,0.33799999999999997,2016.0,0.9887670000000001
35,AL_JACKSON,16643,0.7948000000000001,3663,0.17489999999999994,20486.0,2017.0,0.157,2017.0,0.43799999999999994,0.033,0.908,0.003,0.025,0.165,2016.0,0.18792152643006746,2017.0,0.5207780725022104,2017.0,0.066,2017.0,0.77,2016.0,0.989203
36,AL_JEFFERSON,134398,0.4434,156384,0.5155,26906.0,2017.0,0.126,2017.0,0.672,0.42,0.53,0.014,0.039,0.131,2016.0,0.18104171480231174,2017.0,0.609526967285588,2017.0,0.057999999999999996,2017.0,0.098,2016.0,0.973772
37,AL_LAMAR,5819,0.8359000000000001,1035,0.1487,19026.0,2017.0,0.14,2017.0,0.525,0.113,0.867,0.0,0.012,0.188,2016.0,0.2386151415026577,2017.0,0.5129310344827587,2017.0,0.063,2017.0,1.0,2016.0,0.994526
38,AL_LAUDERDALE,27735,0.7062,9877,0.2515,23510.0,2017.0,0.13699999999999998,2017.0,0.586,0.1,0.8640000000000001,0.006999999999999999,0.022,0.168,2016.0,0.18278072502210432,2017.0,0.5394562334217506,2017.0,0.069,2017.0,0.493,2016.0,0.9886879999999999
39,AL_LAWRENCE,10732,0.7295,3611,0.2455,20181.0,2017.0,0.161,2017.0,0.506,0.115,0.7759999999999999,0.001,0.017,0.146,2016.0,0.182801547014745,2017.0,0.5348143236074271,2017.0,0.077,2017.0,0.9129999999999999,2016.0,0.9961709999999999
40,AL_LEE,34321,0.5856,20987,0.35810000000000003,23506.0,2017.0,0.134,2017.0,0.7040000000000001,0.227,0.713,0.026,0.033,0.091,2016.0,0.2301159187421095,2017.0,0.6997126436781611,2017.0,0.051,2017.0,0.27399999999999997,2016.0,0.961909
41,AL_LIMESTONE,28824,0.7223999999999999,9340,0.2341,25020.0,2017.0,0.14400000000000002,2017.0,0.55,0.126,0.8029999999999999,0.011,0.055,0.123,2016.0,0.14100343043333602,2017.0,0.5551503094606542,2017.0,0.055,2017.0,0.5760000000000001,2016.0,0.9772870000000001
42,AL_LOWNDES,1751,0.262,4882,0.7304999999999999,18368.0,2017.0,0.14400000000000002,2017.0,0.425,0.735,0.253,0.001,0.008,0.146,2016.0,0.2869008974603781,2017.0,0.6466622458001768,2017.0,0.11599999999999999,2017.0,1.0,2016.0,0.998675
43,AL_MACON,1394,0.1589,7237,0.8249,16826.0,2017.0,0.13,2017.0,0.5579999999999999,0.826,0.155,0.004,0.011,0.141,2016.0,0.2553607358436332,2017.0,0.644893899204244,2017.0,0.081,2017.0,0.555,2016.0,0.9939040000000001
44,AL_MADISON,89199,0.5485,62435,0.3839,31933.0,2017.0,0.125,2017.0,0.726,0.24,0.682,0.025,0.046,0.122,2016.0,0.13270371325425476,2017.0,0.5590185676392573,2017.0,0.055,2017.0,0.16399999999999998,2016.0,0.9698610000000001
45,AL_MARENGO,5224,0.4759000000000001,5607,0.5108,22072.0,2017.0,0.133,2017.0,0.496,0.517,0.464,0.003,0.017,0.163,2016.0,0.2777833854850106,2017.0,0.7432581786030061,2017.0,0.077,2017.0,0.693,2016.0,0.992575
46,AL_MARION,11273,0.8683,1432,0.1103,19576.0,2017.0,0.154,2017.0,0.523,0.038,0.936,0.002,0.021,0.183,2016.0,0.18627848786095896,2017.0,0.5190097259062776,2017.0,0.07,2017.0,0.889,2016.0,0.9957010000000001
47,AL_MARSHALL,29217,0.8278,4913,0.1392,20382.0,2017.0,0.188,2017.0,0.474,0.016,0.8759999999999999,0.005,0.121,0.149,2016.0,0.20512325830653805,2017.0,0.5330459770114943,2017.0,0.057999999999999996,2017.0,0.5329999999999999,2016.0,0.940159
48,AL_MOBILE,94002,0.5562,71001,0.4201,22501.0,2017.0,0.149,2017.0,0.594,0.34600000000000003,0.602,0.018000000000000002,0.024,0.129,2016.0,0.1947412217483692,2017.0,0.5772546419098143,2017.0,0.07,2017.0,0.2,2016.0,0.9838040000000001
49,AL_MONROE,5771,0.5646,4310,0.4216,15749.0,2017.0,0.177,2017.0,0.425,0.417,0.551,0.003,0.01,0.157,2016.0,0.3209649203572415,2017.0,0.8110079575596817,2017.0,0.10099999999999999,2017.0,0.79,2016.0,0.9996809999999999
50,AL_MONTGOMERY,33928,0.3551,58669,0.614,24975.0,2017.0,0.139,2017.0,0.613,0.547,0.395,0.021,0.036000000000000004,0.12,2016.0,0.21311668753288696,2017.0,0.6052166224580018,2017.0,0.062,2017.0,0.105,2016.0,0.9705530000000001
51,AL_MORGAN,37392,0.7403,11216,0.2221,23764.0,2017.0,0.161,2017.0,0.5379999999999999,0.119,0.7979999999999999,0.006,0.077,0.141,2016.0,0.16309100498494308,2017.0,0.5152519893899205,2017.0,0.057999999999999996,2017.0,0.386,2016.0,0.9660989999999999
52,AL_PERRY,1403,0.2661,3823,0.725,13716.0,2017.0,0.153,2017.0,0.41200000000000003,0.687,0.303,0.003,0.011,0.16699999999999998,2016.0,0.3979907264296754,2017.0,0.6221264367816092,2017.0,0.1,2017.0,1.0,2016.0,0.998782
53,AL_PICKENS,5454,0.5717,3972,0.4164,17153.0,2017.0,0.14300000000000002,2017.0,0.47200000000000003,0.416,0.563,0.002,0.016,0.16899999999999998,2016.0,0.23925321619077505,2017.0,0.6665561450044208,2017.0,0.068,2017.0,1.0,2016.0,0.9858299999999999
54,AL_PIKE,7681,0.5846,5039,0.3835,19715.0,2017.0,0.152,2017.0,0.585,0.366,0.5820000000000001,0.02,0.022,0.128,2016.0,0.25742069185397737,2017.0,0.6798187444739169,2017.0,0.067,2017.0,0.517,2016.0,0.9670340000000001
55,AL_RANDOLPH,7697,0.7562000000000001,2290,0.225,19830.0,2017.0,0.168,2017.0,0.491,0.201,0.765,0.002,0.028,0.17,2016.0,0.20562270813527092,2017.0,0.5534924845269673,2017.0,0.059000000000000004,2017.0,0.813,2016.0,0.989874
56,AL_RUSSELL,9210,0.4784000000000001,9577,0.4975,19678.0,2017.0,0.14800000000000002,2017.0,0.633,0.418,0.537,0.004,0.037000000000000005,0.127,2016.0,0.2154190292878323,2017.0,0.5381299734748011,2017.0,0.06,2017.0,0.354,2016.0,0.9858790000000001
57,AL_SHELBY,72846,0.7211,22927,0.227,33313.0,2017.0,0.106,2017.0,0.74,0.106,0.83,0.019,0.059,0.106,2016.0,0.08493696412107228,2017.0,0.4559018567639258,2017.0,0.042,2017.0,0.22899999999999998,2016.0,0.9638120000000001
58,AL_STCLAIR,31579,0.8249,5550,0.145,23872.0,2017.0,0.134,2017.0,0.531,0.086,0.882,0.006,0.021,0.131,2016.0,0.13703751907900186,2017.0,0.4741379310344828,2017.0,0.052000000000000005,2017.0,0.728,2016.0,0.989974
59,AL_SUMTER,1581,0.2469,4739,0.74,14156.0,2017.0,0.16699999999999998,2017.0,0.51,0.75,0.242,0.002,0.006,0.15,2016.0,0.3672062830581824,2017.0,0.6444518125552609,2017.0,0.08,2017.0,1.0,2016.0,0.981031
60,AL_TALLADEGA,20596,0.6172,12108,0.3628,19410.0,2017.0,0.135,2017.0,0.47100000000000003,0.317,0.653,0.004,0.02,0.141,2016.0,0.2079414838035528,2017.0,0.5667550839964633,2017.0,0.066,2017.0,0.5579999999999999,2016.0,0.9887729999999999
61,AL_TALLAPOOSA,13546,0.6978,5495,0.2831,21434.0,2017.0,0.14300000000000002,2017.0,0.47200000000000003,0.266,0.6990000000000001,0.005,0.025,0.173,2016.0,0.2336024967799465,2017.0,0.5568081343943413,2017.0,0.061,2017.0,0.742,2016.0,0.9947020000000001
62,AL_TUSCALOOSA,47701,0.5771000000000001,31746,0.3841,22637.0,2017.0,0.122,2017.0,0.625,0.29600000000000004,0.6629999999999999,0.012,0.031,0.108,2016.0,0.1795929850886242,2017.0,0.5753757736516357,2017.0,0.055,2017.0,0.255,2016.0,0.975685
63,AL_WALKER,24208,0.8233,4486,0.1526,20698.0,2017.0,0.152,2017.0,0.526,0.059,0.912,0.003,0.02,0.163,2016.0,0.21930991799473928,2017.0,0.5373563218390804,2017.0,0.07200000000000001,2017.0,0.741,2016.0,0.988093
